osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
13460823338,,,911,48.2666517,9.0752062,,,baden-wuerttemberg
4104433162,Brunnenbichel,,910,47.6790113,10.9588325,,,bayern-260721
13460628263,Burren,,910,48.3153746,9.1230749,Q137796266,,baden-wuerttemberg
253348578,Dandlberg,,910,47.766608,12.1768349,Q31549886,,bayern-260721
363932494,Eierhauckberg,,910,50.4059758,9.9012173,Q1302739,,bayern-260721
5149634893,Großer Gaiskopf,,910,48.5311185,8.2304677,,,baden-wuerttemberg
705251847,Heldenkreuz,,910,47.5989479,11.2005976,,,bayern-260721
2120582396,Hirschkopf,,910,48.66667,8.45,,,baden-wuerttemberg
3808025173,Hörnle,,910,47.5858115,10.5550794,Q130748931,de:Hörnle (Pfronten),bayern-260721
5538740194,Tannenriegel,,910,49.3315618,12.7798381,,,bayern-260721
11352083894,,,910,47.6198256,10.0236189,,,bayern-260721
12306643584,,,910,47.56453,10.66591,,,bayern-260721
2120477127,Eierkuchenberg,,909,48.69317,8.29674,Q30781599,,baden-wuerttemberg
10892645446,Geißberg,,909,48.9924326,12.9081953,,,bayern-260721
6389602007,Hoher Stein,,909,48.1647483,8.1131939,,,baden-wuerttemberg
11378562426,Käsberg,,909,48.1222403,8.9225137,,,baden-wuerttemberg
6622125151,Lattenberg,,909,47.7065673,12.91255,,,bayern-260721
4104433116,,,909,47.7857728,10.7729406,,,bayern-260721
13432623942,,,909,47.770034,10.1319876,,,bayern-260721
3927667315,,,909,51.778639,10.4944578,,,niedersachsen-260721
13409238815,Delisberg,,908,48.2822691,9.0874764,Q30802928,,baden-wuerttemberg
4166501785,Haarberg,,908,47.7831333,10.4427642,Q30654742,,bayern-260721
458895802,Schweizer Kopf,,908,48.7600165,8.4561653,Q31320856,,baden-wuerttemberg
773639922,Teufelsmühle,,908,48.753889,8.408333,Q2407178,,baden-wuerttemberg
1581700801,,,908,47.5755,9.93948,Q132589763,,bayern-260721
11638909255,,,908,47.4852727,10.3883242,,,bayern-260721
13686087926,Eigenberg,,907,49.0388808,12.8217315,,,bayern-260721
4573535251,Geissberg,,907,47.6975105,8.1019354,,,baden-wuerttemberg
1116260613,Großer Eisenberg,,907,50.6223068,10.7813783,Q1236712,,thueringen-260721
1741706529,Hoher Geiersberg,,907,50.650943,10.7502902,,,thueringen-260721
1512928601,Geißlstein,,906,48.8139896,13.2648902,Q1499139,de:Geißlstein,bayern-260721
521379491,Großer Winterberg,,906,51.7605833,10.6247778,Q29795,de:Großer Winterberg (Harz),niedersachsen-260721
187194270,Hörnleberg,Hörnleberg,906,48.127528,8.0459132,Q773086,,baden-wuerttemberg
797532005,Schönau,,906,47.4782435,11.1319009,,,bayern-260721
13460823337,,,906,48.2591835,9.0819325,,,baden-wuerttemberg
